,date,menu_item,stock_count,orders,menu_item_id,in_children_menu,max_stock_quantity,Children_Event,Music_Event,fest_name
0,2016-01-10,Biscuit Tortoni,65,65,0,0,163,No,No,
1,2016-01-10,Blue Point Oysters,209,82,1,0,161,No,No,
2,2016-01-10,Boiled eggs,158,146,2,0,113,No,No,
3,2016-01-10,Boiled potatoes,224,107,3,0,172,No,No,
4,2016-01-10,Chicken Sandwich,54,54,4,1,134,No,No,
5,2016-01-10,Chocolate Ice Cream,150,89,5,0,167,No,No,
6,2016-01-10,Corned Beef Hash,81,72,6,0,135,No,No,
7,2016-01-10,Crab Flake Cocktail,68,68,7,0,76,No,No,
8,2016-01-10,Crackers,92,92,8,0,66,No,No,
9,2016-01-10,Cream Cheese,140,73,9,0,127,No,No,
10,2016-01-10,Dessert,179,119,10,0,149,No,No,
11,2016-01-10,French fried potatoes,45,45,11,1,64,No,No,
12,2016-01-10,Fruit,58,58,12,1,116,No,No,
13,2016-01-10,Grapes,174,173,13,1,145,No,No,
14,2016-01-10,Milk,147,147,14,1,113,No,No,
15,2016-01-10,Nesselrode Pudding,33,33,15,0,82,No,No,
16,2016-01-10,Orange Juice,146,85,16,0,183,No,No,
17,2016-01-10,Orange marmalade,56,56,17,0,70,No,No,
18,2016-01-10,Oranges,113,113,18,1,189,No,No,
19,2016-01-10,Oyster cocktail,87,87,19,0,79,No,No,
20,2016-01-10,Pear,113,113,20,0,87,No,No,
21,2016-01-10,Plums,26,26,21,0,87,No,No,
22,2016-01-10,ROQUEFORT CHEESE,113,113,22,0,81,No,No,
23,2016-01-10,STRAWBERRY ICE CREAM,52,52,23,1,65,No,No,
24,2016-01-10,Sardines,40,40,24,0,67,No,No,
25,2016-01-10,Sauterne,54,54,25,0,77,No,No,
26,2016-01-10,Scrambled Eggs,95,69,26,0,190,No,No,
27,2016-01-10,Shrimp Cocktail,80,78,27,0,133,No,No,
28,2016-01-10,Shrimp Salad,90,75,28,0,180,No,No,
29,2016-01-10,Sliced Tomatoes,105,105,29,1,131,No,No,
30,2016-01-10,Stewed Corn,45,45,30,0,91,No,No,
31,2016-01-10,Stewed Prunes,110,81,31,0,122,No,No,
32,2016-01-10,Sweet Potatoes,53,53,32,1,178,No,No,
33,2016-01-10,Tea,221,146,33,0,158,No,No,
34,2016-01-10,rice pudding,59,59,34,1,198,No,No,
35,2016-01-11,Biscuit Tortoni,212,131,0,0,163,No,No,
36,2016-01-11,Blue Point Oysters,129,51,1,0,161,No,No,
37,2016-01-11,Boiled eggs,68,68,2,0,113,No,No,
38,2016-01-11,Boiled potatoes,189,110,3,0,172,No,No,
39,2016-01-11,Chicken Sandwich,147,147,4,1,134,No,No,
40,2016-01-11,Chocolate Ice Cream,100,77,5,0,167,No,No,
41,2016-01-11,Corned Beef Hash,41,41,6,0,135,No,No,
42,2016-01-11,Crab Flake Cocktail,38,38,7,0,76,No,No,
43,2016-01-11,Crackers,46,46,8,0,66,No,No,
44,2016-01-11,Cream Cheese,140,128,9,0,127,No,No,
45,2016-01-11,Dessert,119,71,10,0,149,No,No,
46,2016-01-11,French fried potatoes,83,83,11,1,64,No,No,
47,2016-01-11,Fruit,151,133,12,1,116,No,No,
48,2016-01-11,Grapes,188,180,13,1,145,No,No,
49,2016-01-11,Milk,102,102,14,1,113,No,No,
50,2016-01-11,Nesselrode Pudding,90,90,15,0,82,No,No,
51,2016-01-11,Orange Juice,146,77,16,0,183,No,No,
52,2016-01-11,Orange marmalade,98,98,17,0,70,No,No,
53,2016-01-11,Oranges,170,145,18,1,189,No,No,
54,2016-01-11,Oyster cocktail,32,32,19,0,79,No,No,
55,2016-01-11,Pear,35,35,20,0,87,No,No,
56,2016-01-11,Plums,52,52,21,0,87,No,No,
57,2016-01-11,ROQUEFORT CHEESE,89,89,22,0,81,No,No,
58,2016-01-11,STRAWBERRY ICE CREAM,91,91,23,1,65,No,No,
59,2016-01-11,Sardines,60,60,24,0,67,No,No,
60,2016-01-11,Sauterne,39,39,25,0,77,No,No,
61,2016-01-11,Scrambled Eggs,133,68,26,0,190,No,No,
62,2016-01-11,Shrimp Cocktail,80,54,27,0,133,No,No,
63,2016-01-11,Shrimp Salad,126,64,28,0,180,No,No,
64,2016-01-11,Sliced Tomatoes,157,157,29,1,131,No,No,
65,2016-01-11,Stewed Corn,109,109,30,0,91,No,No,
66,2016-01-11,Stewed Prunes,98,36,31,0,122,No,No,
67,2016-01-11,Sweet Potatoes,107,107,32,1,178,No,No,
68,2016-01-11,Tea,126,82,33,0,158,No,No,
69,2016-01-11,rice pudding,119,79,34,1,198,No,No,
70,2016-01-12,Biscuit Tortoni,98,82,0,0,163,No,No,
71,2016-01-12,Blue Point Oysters,97,67,1,0,161,No,No,
72,2016-01-12,Boiled eggs,136,116,2,0,113,No,No,
73,2016-01-12,Boiled potatoes,69,60,3,0,172,No,No,
74,2016-01-12,Chicken Sandwich,174,117,4,1,134,No,No,
75,2016-01-12,Chocolate Ice Cream,83,63,5,0,167,No,No,
76,2016-01-12,Corned Beef Hash,176,148,6,0,135,No,No,
77,2016-01-12,Crab Flake Cocktail,91,91,7,0,76,No,No,
78,2016-01-12,Crackers,86,86,8,0,66,No,No,
79,2016-01-12,Cream Cheese,38,38,9,0,127,No,No,
80,2016-01-12,Dessert,89,70,10,0,149,No,No,
81,2016-01-12,French fried potatoes,19,19,11,1,64,No,No,
82,2016-01-12,Fruit,81,73,12,1,116,No,No,
83,2016-01-12,Grapes,174,174,13,1,145,No,No,
84,2016-01-12,Milk,57,57,14,1,113,No,No,
85,2016-01-12,Nesselrode Pudding,66,40,15,0,82,No,No,
86,2016-01-12,Orange Juice,91,70,16,0,183,No,No,
87,2016-01-12,Orange marmalade,91,91,17,0,70,No,No,
88,2016-01-12,Oranges,189,40,18,1,189,No,No,
89,2016-01-12,Oyster cocktail,32,32,19,0,79,No,No,
90,2016-01-12,Pear,87,75,20,0,87,No,No,
91,2016-01-12,Plums,43,43,21,0,87,No,No,
92,2016-01-12,ROQUEFORT CHEESE,57,57,22,0,81,No,No,
93,2016-01-12,STRAWBERRY ICE CREAM,52,42,23,1,65,No,No,
94,2016-01-12,Sardines,94,94,24,0,67,No,No,
95,2016-01-12,Sauterne,23,23,25,0,77,No,No,
96,2016-01-12,Scrambled Eggs,266,121,26,0,190,No,No,
97,2016-01-12,Shrimp Cocktail,106,71,27,0,133,No,No,
98,2016-01-12,Shrimp Salad,180,82,28,0,180,No,No,
99,2016-01-12,Sliced Tomatoes,157,157,29,1,131,No,No,
100,2016-01-12,Stewed Corn,100,100,30,0,91,No,No,
101,2016-01-12,Stewed Prunes,110,76,31,0,122,No,No,
102,2016-01-12,Sweet Potatoes,89,89,32,1,178,No,No,
103,2016-01-12,Tea,126,55,33,0,158,No,No,
104,2016-01-12,rice pudding,238,155,34,1,198,No,No,
105,2016-02-10,Biscuit Tortoni,114,114,0,0,163,No,Yes,
106,2016-02-10,Blue Point Oysters,161,161,1,0,161,No,Yes,
107,2016-02-10,Boiled eggs,113,113,2,0,113,No,Yes,
108,2016-02-10,Boiled potatoes,172,147,3,0,172,No,Yes,
109,2016-02-10,Chicken Sandwich,174,102,4,1,134,No,Yes,
110,2016-02-10,Chocolate Ice Cream,167,153,5,0,167,No,Yes,
111,2016-02-10,Corned Beef Hash,41,41,6,0,135,No,Yes,
112,2016-02-10,Crab Flake Cocktail,99,99,7,0,76,No,Yes,
113,2016-02-10,Crackers,73,73,8,0,66,No,Yes,
114,2016-02-10,Cream Cheese,178,150,9,0,127,No,Yes,
115,2016-02-10,Dessert,194,194,10,0,149,No,Yes,
116,2016-02-10,French fried potatoes,51,51,11,1,64,No,Yes,
117,2016-02-10,Fruit,70,70,12,1,116,No,Yes,
118,2016-02-10,Grapes,43,43,13,1,145,No,Yes,
119,2016-02-10,Milk,34,34,14,1,113,No,Yes,
120,2016-02-10,Nesselrode Pudding,74,74,15,0,82,No,Yes,
121,2016-02-10,Orange Juice,165,105,16,0,183,No,Yes,
122,2016-02-10,Orange marmalade,84,84,17,0,70,No,Yes,
123,2016-02-10,Oranges,151,138,18,1,189,No,Yes,
124,2016-02-10,Oyster cocktail,103,103,19,0,79,No,Yes,
125,2016-02-10,Pear,113,85,20,0,87,No,Yes,
126,2016-02-10,Plums,104,104,21,0,87,No,Yes,
127,2016-02-10,ROQUEFORT CHEESE,73,73,22,0,81,No,Yes,
128,2016-02-10,STRAWBERRY ICE CREAM,45,45,23,1,65,No,Yes,
129,2016-02-10,Sardines,40,40,24,0,67,No,Yes,
130,2016-02-10,Sauterne,39,39,25,0,77,No,Yes,
131,2016-02-10,Scrambled Eggs,152,152,26,0,190,No,Yes,
132,2016-02-10,Shrimp Cocktail,133,85,27,0,133,No,Yes,
133,2016-02-10,Shrimp Salad,108,108,28,0,180,No,Yes,
134,2016-02-10,Sliced Tomatoes,39,39,29,1,131,No,Yes,
135,2016-02-10,Stewed Corn,36,36,30,0,91,No,Yes,
136,2016-02-10,Stewed Prunes,134,134,31,0,122,No,Yes,
137,2016-02-10,Sweet Potatoes,107,107,32,1,178,No,Yes,
138,2016-02-10,Tea,221,221,33,0,158,No,Yes,
139,2016-02-10,rice pudding,238,224,34,1,198,No,Yes,
140,2016-02-11,Biscuit Tortoni,98,80,0,0,163,No,No,
141,2016-02-11,Blue Point Oysters,161,43,1,0,161,No,No,
142,2016-02-11,Boiled eggs,45,45,2,0,113,No,No,
143,2016-02-11,Boiled potatoes,52,52,3,0,172,No,No,
144,2016-02-11,Chicken Sandwich,188,155,4,1,134,No,No,
145,2016-02-11,Chocolate Ice Cream,234,102,5,0,167,No,No,
146,2016-02-11,Corned Beef Hash,176,153,6,0,135,No,No,
147,2016-02-11,Crab Flake Cocktail,76,76,7,0,76,No,No,
148,2016-02-11,Crackers,86,86,8,0,66,No,No,
149,2016-02-11,Cream Cheese,38,38,9,0,127,No,No,
150,2016-02-11,Dessert,149,83,10,0,149,No,No,
151,2016-02-11,French fried potatoes,38,38,11,1,64,No,No,
152,2016-02-11,Fruit,116,95,12,1,116,No,No,
153,2016-02-11,Grapes,160,160,13,1,145,No,No,
154,2016-02-11,Milk,34,34,14,1,113,No,No,
155,2016-02-11,Nesselrode Pudding,90,90,15,0,82,No,No,
156,2016-02-11,Orange Juice,238,90,16,0,183,No,No,
157,2016-02-11,Orange marmalade,35,35,17,0,70,No,No,
158,2016-02-11,Oranges,189,158,18,1,189,No,No,
159,2016-02-11,Oyster cocktail,47,47,19,0,79,No,No,
160,2016-02-11,Pear,122,122,20,0,87,No,No,
161,2016-02-11,Plums,78,71,21,0,87,No,No,
162,2016-02-11,ROQUEFORT CHEESE,73,63,22,0,81,No,No,
163,2016-02-11,STRAWBERRY ICE CREAM,33,33,23,1,65,No,No,
164,2016-02-11,Sardines,33,33,24,0,67,No,No,
165,2016-02-11,Sauterne,39,39,25,0,77,No,No,
166,2016-02-11,Scrambled Eggs,114,78,26,0,190,No,No,
167,2016-02-11,Shrimp Cocktail,120,75,27,0,133,No,No,
168,2016-02-11,Shrimp Salad,162,58,28,0,180,No,No,
169,2016-02-11,Sliced Tomatoes,79,79,29,1,131,No,No,
170,2016-02-11,Stewed Corn,118,99,30,0,91,No,No,
171,2016-02-11,Stewed Prunes,171,153,31,0,122,No,No,
172,2016-02-11,Sweet Potatoes,178,135,32,1,178,No,No,
173,2016-02-11,Tea,221,134,33,0,158,No,No,
174,2016-02-11,rice pudding,59,47,34,1,198,No,No,
175,2016-02-12,Biscuit Tortoni,163,75,0,0,163,No,No,
176,2016-02-12,Blue Point Oysters,97,65,1,0,161,No,No,
177,2016-02-12,Boiled eggs,57,57,2,0,113,No,No,
178,2016-02-12,Boiled potatoes,86,86,3,0,172,No,No,
179,2016-02-12,Chicken Sandwich,94,94,4,1,134,No,No,
180,2016-02-12,Chocolate Ice Cream,184,53,5,0,167,No,No,
181,2016-02-12,Corned Beef Hash,135,89,6,0,135,No,No,
182,2016-02-12,Crab Flake Cocktail,106,106,7,0,76,No,No,
183,2016-02-12,Crackers,46,46,8,0,66,No,No,
184,2016-02-12,Cream Cheese,152,76,9,0,127,No,No,
185,2016-02-12,Dessert,104,78,10,0,149,No,No,
186,2016-02-12,French fried potatoes,19,19,11,1,64,No,No,
187,2016-02-12,Fruit,139,139,12,1,116,No,No,
188,2016-02-12,Grapes,116,92,13,1,145,No,No,
189,2016-02-12,Milk,68,68,14,1,113,No,No,
190,2016-02-12,Nesselrode Pudding,90,90,15,0,82,No,No,
191,2016-02-12,Orange Juice,256,117,16,0,183,No,No,
192,2016-02-12,Orange marmalade,63,38,17,0,70,No,No,
193,2016-02-12,Oranges,76,73,18,1,189,No,No,
194,2016-02-12,Oyster cocktail,24,24,19,0,79,No,No,
195,2016-02-12,Pear,35,35,20,0,87,No,No,
196,2016-02-12,Plums,70,70,21,0,87,No,No,
197,2016-02-12,ROQUEFORT CHEESE,32,32,22,0,81,No,No,
198,2016-02-12,STRAWBERRY ICE CREAM,19,19,23,1,65,No,No,
199,2016-02-12,Sardines,94,94,24,0,67,No,No,
200,2016-02-12,Sauterne,69,66,25,0,77,No,No,
201,2016-02-12,Scrambled Eggs,114,76,26,0,190,No,No,
202,2016-02-12,Shrimp Cocktail,40,40,27,0,133,No,No,
203,2016-02-12,Shrimp Salad,54,54,28,0,180,No,No,
204,2016-02-12,Sliced Tomatoes,92,92,29,1,131,No,No,
205,2016-02-12,Stewed Corn,118,112,30,0,91,No,No,
206,2016-02-12,Stewed Prunes,171,109,31,0,122,No,No,
207,2016-02-12,Sweet Potatoes,142,142,32,1,178,No,No,
