,menu_item,date,stock_count,orders
0,Tea,2018-09-23,47,47
1,Milk,2018-09-23,158,158
2,Boiled potatoes,2018-09-23,138,82
3,Fruit,2018-09-23,46,46
4,Sardines,2018-09-23,74,74
5,Oranges,2018-09-23,208,197
6,French fried potatoes,2018-09-23,77,77
7,Chocolate Ice Cream,2018-09-23,100,77
8,Sliced Tomatoes,2018-09-23,65,65
9,ROQUEFORT CHEESE,2018-09-23,81,78
10,Cream Cheese,2018-09-23,178,121
11,Crackers,2018-09-23,73,73
12,Grapes,2018-09-23,174,174
13,Biscuit Tortoni,2018-09-23,147,63
14,Dessert,2018-09-23,194,114
15,Shrimp Cocktail,2018-09-23,160,124
16,rice pudding,2018-09-23,277,201
17,Corned Beef Hash,2018-09-23,95,70
18,STRAWBERRY ICE CREAM,2018-09-23,84,84
19,Chicken Sandwich,2018-09-23,174,170
20,Orange Juice,2018-09-23,91,33
21,Pear,2018-09-23,104,61
22,Stewed Corn,2018-09-23,109,109
23,Shrimp Salad,2018-09-23,108,80
24,Scrambled Eggs,2018-09-23,57,57
25,Sauterne,2018-09-23,85,75
26,Boiled eggs,2018-09-23,90,60
27,Crab Flake Cocktail,2018-09-23,106,106
28,Blue Point Oysters,2018-09-23,129,88
29,Stewed Prunes,2018-09-23,171,94
30,Plums,2018-09-23,87,69
31,Oyster cocktail,2018-09-23,39,39
32,Nesselrode Pudding,2018-09-23,107,85
33,Sweet Potatoes,2018-09-23,53,53
34,Orange marmalade,2018-09-23,28,28
35,Tea,2018-09-22,205,102
36,Milk,2018-09-22,113,96
37,Boiled potatoes,2018-09-22,155,85
38,Fruit,2018-09-22,46,46
39,Sardines,2018-09-22,40,40
40,Oranges,2018-09-22,113,113
41,French fried potatoes,2018-09-22,58,58
42,Chocolate Ice Cream,2018-09-22,134,75
43,Sliced Tomatoes,2018-09-22,131,129
44,ROQUEFORT CHEESE,2018-09-22,65,65
45,Cream Cheese,2018-09-22,152,143
46,Crackers,2018-09-22,26,26
47,Grapes,2018-09-22,160,133
48,Biscuit Tortoni,2018-09-22,98,74
49,Dessert,2018-09-22,45,45
50,Shrimp Cocktail,2018-09-22,40,40
51,rice pudding,2018-09-22,139,112
52,Corned Beef Hash,2018-09-22,108,75
53,STRAWBERRY ICE CREAM,2018-09-22,65,65
54,Chicken Sandwich,2018-09-22,40,40
55,Orange Juice,2018-09-22,91,90
56,Pear,2018-09-22,104,104
57,Stewed Corn,2018-09-22,91,88
58,Shrimp Salad,2018-09-22,180,51
59,Scrambled Eggs,2018-09-22,152,90
60,Sauterne,2018-09-22,85,85
61,Boiled eggs,2018-09-22,45,45
62,Crab Flake Cocktail,2018-09-22,76,51
63,Blue Point Oysters,2018-09-22,225,87
64,Stewed Prunes,2018-09-22,61,61
65,Plums,2018-09-22,113,102
66,Oyster cocktail,2018-09-22,71,71
67,Nesselrode Pudding,2018-09-22,107,107
68,Sweet Potatoes,2018-09-22,142,126
69,Orange marmalade,2018-09-22,91,91
70,Tea,2018-09-21,158,111
71,Milk,2018-09-21,102,102
72,Boiled potatoes,2018-09-21,138,108
73,Fruit,2018-09-21,35,35
74,Sardines,2018-09-21,27,27
75,Oranges,2018-09-21,265,199
76,French fried potatoes,2018-09-21,26,26
77,Chocolate Ice Cream,2018-09-21,200,126
78,Sliced Tomatoes,2018-09-21,183,183
79,ROQUEFORT CHEESE,2018-09-21,113,113
80,Cream Cheese,2018-09-21,76,76
81,Crackers,2018-09-21,86,86
82,Grapes,2018-09-21,58,58
83,Biscuit Tortoni,2018-09-21,65,65
84,Dessert,2018-09-21,119,43
85,Shrimp Cocktail,2018-09-21,146,146
86,rice pudding,2018-09-21,277,102
87,Corned Beef Hash,2018-09-21,176,176
88,STRAWBERRY ICE CREAM,2018-09-21,78,78
89,Chicken Sandwich,2018-09-21,107,107
90,Orange Juice,2018-09-21,220,220
91,Pear,2018-09-21,70,70
92,Stewed Corn,2018-09-21,118,118
93,Shrimp Salad,2018-09-21,198,198
94,Scrambled Eggs,2018-09-21,266,138
95,Sauterne,2018-09-21,23,23
96,Boiled eggs,2018-09-21,136,136
97,Crab Flake Cocktail,2018-09-21,68,68
98,Blue Point Oysters,2018-09-21,64,64
99,Stewed Prunes,2018-09-21,49,49
100,Plums,2018-09-21,35,35
101,Oyster cocktail,2018-09-21,103,103
102,Nesselrode Pudding,2018-09-21,33,33
103,Sweet Potatoes,2018-09-21,249,249
104,Orange marmalade,2018-09-21,21,21
105,Tea,2018-09-20,95,71
106,Milk,2018-09-20,158,158
107,Boiled potatoes,2018-09-20,69,69
108,Fruit,2018-09-20,81,81
109,Sardines,2018-09-20,60,60
110,Oranges,2018-09-20,76,76
111,French fried potatoes,2018-09-20,26,26
112,Chocolate Ice Cream,2018-09-20,184,83
113,Sliced Tomatoes,2018-09-20,144,136
114,ROQUEFORT CHEESE,2018-09-20,113,113
115,Cream Cheese,2018-09-20,89,49
116,Crackers,2018-09-20,86,76
117,Grapes,2018-09-20,160,95
118,Biscuit Tortoni,2018-09-20,114,71
119,Dessert,2018-09-20,149,79
120,Shrimp Cocktail,2018-09-20,160,122
121,rice pudding,2018-09-20,238,223
122,Corned Beef Hash,2018-09-20,176,76
123,STRAWBERRY ICE CREAM,2018-09-20,39,39
124,Chicken Sandwich,2018-09-20,147,147
125,Orange Juice,2018-09-20,256,146
126,Pear,2018-09-20,52,52
127,Stewed Corn,2018-09-20,55,55
128,Shrimp Salad,2018-09-20,126,75
129,Scrambled Eggs,2018-09-20,171,62
130,Sauterne,2018-09-20,77,77
131,Boiled eggs,2018-09-20,90,76
132,Crab Flake Cocktail,2018-09-20,38,38
133,Blue Point Oysters,2018-09-20,209,112
134,Stewed Prunes,2018-09-20,98,54
135,Plums,2018-09-20,113,113
136,Oyster cocktail,2018-09-20,24,24
137,Nesselrode Pudding,2018-09-20,74,62
138,Sweet Potatoes,2018-09-20,89,65
139,Orange marmalade,2018-09-20,56,56
140,Tea,2018-09-19,142,77
141,Milk,2018-09-19,113,98
142,Boiled potatoes,2018-09-19,206,144
143,Fruit,2018-09-19,162,61
144,Sardines,2018-09-19,33,33
145,Oranges,2018-09-19,132,65
146,French fried potatoes,2018-09-19,45,45
147,Chocolate Ice Cream,2018-09-19,134,32
148,Sliced Tomatoes,2018-09-19,157,126
149,ROQUEFORT CHEESE,2018-09-19,32,32
150,Cream Cheese,2018-09-19,127,50
151,Crackers,2018-09-19,26,26
152,Grapes,2018-09-19,145,106
153,Biscuit Tortoni,2018-09-19,81,71
154,Dessert,2018-09-19,89,57
155,Shrimp Cocktail,2018-09-19,67,67
156,rice pudding,2018-09-19,178,159
157,Corned Beef Hash,2018-09-19,189,150
158,STRAWBERRY ICE CREAM,2018-09-19,26,26
159,Chicken Sandwich,2018-09-19,147,147
160,Orange Juice,2018-09-19,220,104
161,Pear,2018-09-19,122,105
162,Stewed Corn,2018-09-19,82,45
163,Shrimp Salad,2018-09-19,144,72
164,Scrambled Eggs,2018-09-19,209,136
165,Sauterne,2018-09-19,62,40
166,Boiled eggs,2018-09-19,68,68
167,Crab Flake Cocktail,2018-09-19,106,102
168,Blue Point Oysters,2018-09-19,225,153
169,Stewed Prunes,2018-09-19,159,129
170,Plums,2018-09-19,52,52
171,Oyster cocktail,2018-09-19,63,63
172,Nesselrode Pudding,2018-09-19,98,98
173,Sweet Potatoes,2018-09-19,71,71
174,Orange marmalade,2018-09-19,42,42
175,Tea,2018-09-18,205,107
176,Milk,2018-09-18,90,90
177,Boiled potatoes,2018-09-18,52,52
178,Fruit,2018-09-18,116,116
179,Sardines,2018-09-18,47,47
180,Oranges,2018-09-18,57,57
181,French fried potatoes,2018-09-18,83,83
182,Chocolate Ice Cream,2018-09-18,167,77
183,Sliced Tomatoes,2018-09-18,144,109
184,ROQUEFORT CHEESE,2018-09-18,49,49
185,Cream Cheese,2018-09-18,178,124
186,Crackers,2018-09-18,40,40
187,Grapes,2018-09-18,160,160
188,Biscuit Tortoni,2018-09-18,98,62
189,Dessert,2018-09-18,60,60
190,Shrimp Cocktail,2018-09-18,133,70
191,rice pudding,2018-09-18,257,250
192,Corned Beef Hash,2018-09-18,81,60
193,STRAWBERRY ICE CREAM,2018-09-18,26,26
194,Chicken Sandwich,2018-09-18,80,80
195,Orange Juice,2018-09-18,110,72
196,Pear,2018-09-18,61,61
197,Stewed Corn,2018-09-18,100,100
198,Shrimp Salad,2018-09-18,162,87
199,Scrambled Eggs,2018-09-18,266,134
200,Sauterne,2018-09-18,108,95
201,Boiled eggs,2018-09-18,158,126
202,Crab Flake Cocktail,2018-09-18,61,61
203,Blue Point Oysters,2018-09-18,64,64
204,Stewed Prunes,2018-09-18,49,49
205,Plums,2018-09-18,61,57
206,Oyster cocktail,2018-09-18,39,39
207,Nesselrode Pudding,2018-09-18,107,107
208,Sweet Potatoes,2018-09-18,71,71
209,Orange marmalade,2018-09-18,49,49
210,Tea,2018-09-17,205,112
211,Milk,2018-09-17,102,57
212,Boiled potatoes,2018-09-17,206,121
213,Fruit,2018-09-17,35,35
214,Sardines,2018-09-17,60,60
215,Oranges,2018-09-17,57,57
216,French fried potatoes,2018-09-17,64,64
217,Chocolate Ice Cream,2018-09-17,184,60
218,Sliced Tomatoes,2018-09-17,170,126
219,ROQUEFORT CHEESE,2018-09-17,105,105
220,Cream Cheese,2018-09-17,152,104
221,Crackers,2018-09-17,79,79
222,Grapes,2018-09-17,101,101
223,Biscuit Tortoni,2018-09-17,179,80
224,Dessert,2018-09-17,209,122
225,Shrimp Cocktail,2018-09-17,80,80
226,rice pudding,2018-09-17,119,119
227,Corned Beef Hash,2018-09-17,95,47
228,STRAWBERRY ICE CREAM,2018-09-17,33,33
229,Chicken Sandwich,2018-09-17,94,94
230,Orange Juice,2018-09-17,238,134
231,Pear,2018-09-17,87,55
232,Stewed Corn,2018-09-17,118,118
233,Shrimp Salad,2018-09-17,90,71
234,Scrambled Eggs,2018-09-17,209,95
235,Sauterne,2018-09-17,54,54
236,Boiled eggs,2018-09-17,79,77
237,Crab Flake Cocktail,2018-09-17,61,55
238,Blue Point Oysters,2018-09-17,97,79
239,Stewed Prunes,2018-09-17,61,48
240,Plums,2018-09-17,61,61
241,Oyster cocktail,2018-09-17,55,55
242,Nesselrode Pudding,2018-09-17,115,105
243,Sweet Potatoes,2018-09-17,125,76
244,Orange marmalade,2018-09-17,28,28
245,Tea,2018-09-16,111,73
246,Milk,2018-09-16,90,90
247,Boiled potatoes,2018-09-16,241,117
248,Fruit,2018-09-16,70,70
249,Sardines,2018-09-16,47,47
250,Oranges,2018-09-16,265,185
251,French fried potatoes,2018-09-16,70,70
252,Chocolate Ice Cream,2018-09-16,200,133
253,Sliced Tomatoes,2018-09-16,105,105
254,ROQUEFORT CHEESE,2018-09-16,65,59
255,Cream Cheese,2018-09-16,140,131
256,Crackers,2018-09-16,40,40
257,Grapes,2018-09-16,58,58
258,Biscuit Tortoni,2018-09-16,81,81
259,Dessert,2018-09-16,164,70
260,Shrimp Cocktail,2018-09-16,80,57
261,rice pudding,2018-09-16,277,189
262,Corned Beef Hash,2018-09-16,67,67
263,STRAWBERRY ICE CREAM,2018-09-16,59,39
264,Chicken Sandwich,2018-09-16,161,100
265,Orange Juice,2018-09-16,91,59
266,Pear,2018-09-16,26,26
267,Stewed Corn,2018-09-16,118,61
268,Shrimp Salad,2018-09-16,144,76
269,Scrambled Eggs,2018-09-16,114,80
270,Sauterne,2018-09-16,23,23
271,Boiled eggs,2018-09-16,124,124
272,Crab Flake Cocktail,2018-09-16,46,46
273,Blue Point Oysters,2018-09-16,177,136
274,Stewed Prunes,2018-09-16,37,37
275,Plums,2018-09-16,122,122
276,Oyster cocktail,2018-09-16,47,47
277,Nesselrode Pudding,2018-09-16,41,41
278,Sweet Potatoes,2018-09-16,142,142
279,Orange marmalade,2018-09-16,56,56
280,Tea,2018-09-15,111,71
281,Milk,2018-09-15,79,79
282,Boiled potatoes,2018-09-15,189,141
283,Fruit,2018-09-15,81,81
284,Sardines,2018-09-15,40,40
285,Oranges,2018-09-15,132,63
286,French fried potatoes,2018-09-15,32,32
287,Chocolate Ice Cream,2018-09-15,217,136
288,Sliced Tomatoes,2018-09-15,52,52
289,ROQUEFORT CHEESE,2018-09-15,32,32
290,Cream Cheese,2018-09-15,51,51
291,Crackers,2018-09-15,92,92
292,Grapes,2018-09-15,116,108
293,Biscuit Tortoni,2018-09-15,81,43
294,Dessert,2018-09-15,45,45
295,Shrimp Cocktail,2018-09-15,120,69
296,rice pudding,2018-09-15,119,119
297,Corned Beef Hash,2018-09-15,176,146
298,STRAWBERRY ICE CREAM,2018-09-15,65,65
299,Chicken Sandwich,2018-09-15,174,174
300,Orange Juice,2018-09-15,128,76
301,Pear,2018-09-15,78,66
302,Stewed Corn,2018-09-15,82,41
303,Shrimp Salad,2018-09-15,180,56
304,Scrambled Eggs,2018-09-15,228,141
305,Sauterne,2018-09-15,77,77
306,Boiled eggs,2018-09-15,45,45
307,Crab Flake Cocktail,2018-09-15,23,23
308,Blue Point Oysters,2018-09-15,113,62
309,Stewed Prunes,2018-09-15,134,87
310,Plums,2018-09-15,70,68
311,Oyster cocktail,2018-09-15,32,32
312,Nesselrode Pudding,2018-09-15,33,33
313,Sweet Potatoes,2018-09-15,231,131
314,Orange marmalade,2018-09-15,63,63
315,Tea,2018-09-14,190,190
316,Milk,2018-09-14,34,34
317,Boiled potatoes,2018-09-14,241,241
318,Fruit,2018-09-14,116,116
319,Sardines,2018-09-14,27,27
320,Oranges,2018-09-14,57,57
321,French fried potatoes,2018-09-14,45,45
322,Chocolate Ice Cream,2018-09-14,134,72
323,Sliced Tomatoes,2018-09-14,39,39
324,ROQUEFORT CHEESE,2018-09-14,73,73
325,Cream Cheese,2018-09-14,102,102
326,Crackers,2018-09-14,66,66
327,Grapes,2018-09-14,203,128
328,Biscuit Tortoni,2018-09-14,147,147
329,Dessert,2018-09-14,104,104
330,Shrimp Cocktail,2018-09-14,67,67
331,rice pudding,2018-09-14,158,117
332,Corned Beef Hash,2018-09-14,176,176
333,STRAWBERRY ICE CREAM,2018-09-14,72,72
334,Chicken Sandwich,2018-09-14,67,67
335,Orange Juice,2018-09-14,128,60
336,Pear,2018-09-14,35,35
337,Stewed Corn,2018-09-14,127,92
338,Shrimp Salad,2018-09-14,162,162
339,Scrambled Eggs,2018-09-14,152,152
340,Sauterne,2018-09-14,62,62
341,Boiled eggs,2018-09-14,136,87
342,Crab Flake Cocktail,2018-09-14,99,71
343,Blue Point Oysters,2018-09-14,225,224
344,Stewed Prunes,2018-09-14,122,122
345,Plums,2018-09-14,122,122
346,Oyster cocktail,2018-09-14,32,32
347,Nesselrode Pudding,2018-09-14,98,98
348,Sweet Potatoes,2018-09-14,196,196
349,Orange marmalade,2018-09-14,42,42
350,Tea,2018-09-13,205,116
351,Milk,2018-09-13,45,45
352,Boiled potatoes,2018-09-13,86,60
353,Fruit,2018-09-13,81,81
354,Sardines,2018-09-13,60,53
355,Oranges,2018-09-13,189,98
356,French fried potatoes,2018-09-13,58,58
357,Chocolate Ice Cream,2018-09-13,134,36
358,Sliced Tomatoes,2018-09-13,79,79
359,ROQUEFORT CHEESE,2018-09-13,57,57
360,Cream Cheese,2018-09-13,114,47
361,Crackers,2018-09-13,92,87
362,Grapes,2018-09-13,188,188
363,Biscuit Tortoni,2018-09-13,228,126
364,Dessert,2018-09-13,209,139
365,Shrimp Cocktail,2018-09-13,106,58
366,rice pudding,2018-09-13,198,105
367,Corned Beef Hash,2018-09-13,67,64
368,STRAWBERRY ICE CREAM,2018-09-13,26,26
369,Chicken Sandwich,2018-09-13,94,94
370,Orange Juice,2018-09-13,146,77
371,Pear,2018-09-13,122,122
372,Stewed Corn,2018-09-13,45,45
373,Shrimp Salad,2018-09-13,144,90
374,Scrambled Eggs,2018-09-13,95,66
375,Sauterne,2018-09-13,77,77
376,Boiled eggs,2018-09-13,34,34
377,Crab Flake Cocktail,2018-09-13,76,69
378,Blue Point Oysters,2018-09-13,64,64
379,Stewed Prunes,2018-09-13,146,146
380,Plums,2018-09-13,52,52
381,Oyster cocktail,2018-09-13,87,87
382,Nesselrode Pudding,2018-09-13,82,81
383,Sweet Potatoes,2018-09-13,89,89
384,Orange marmalade,2018-09-13,21,21
385,Tea,2018-12-09,174,112
386,Milk,2018-12-09,102,102
387,Boiled potatoes,2018-12-09,189,139
388,Fruit,2018-12-09,46,46
389,Sardines,2018-12-09,47,47
390,Oranges,2018-12-09,76,76
391,French fried potatoes,2018-12-09,38,38
392,Chocolate Ice Cream,2018-12-09,50,50
393,Sliced Tomatoes,2018-12-09,39,39
394,ROQUEFORT CHEESE,2018-12-09,41,41
395,Cream Cheese,2018-12-09,102,39
396,Crackers,2018-12-09,59,59
397,Grapes,2018-12-09,58,58
398,Biscuit Tortoni,2018-12-09,98,74
399,Dessert,2018-12-09,149,85
400,Shrimp Cocktail,2018-12-09,173,126
401,rice pudding,2018-12-09,158,126
402,Corned Beef Hash,2018-12-09,41,37
403,STRAWBERRY ICE CREAM,2018-12-09,91,91
404,Chicken Sandwich,2018-12-09,161,161
405,Orange Juice,2018-12-09,128,86
406,Pear,2018-12-09,96,96
407,Stewed Corn,2018-12-09,64,47
408,Shrimp Salad,2018-12-09,72,69
409,Scrambled Eggs,2018-12-09,95,55
410,Sauterne,2018-12-09,46,46
411,Boiled eggs,2018-12-09,68,68
412,Crab Flake Cocktail,2018-12-09,91,91
413,Blue Point Oysters,2018-12-09,48,48
414,Stewed Prunes,2018-12-09,37,37
415,Plums,2018-12-09,113,113
416,Oyster cocktail,2018-12-09,47,47
417,Nesselrode Pudding,2018-12-09,49,49
418,Sweet Potatoes,2018-12-09,89,89
419,Orange marmalade,2018-12-09,91,91
420,Tea,2018-11-09,63,63
421,Milk,2018-11-09,45,45
422,Boiled potatoes,2018-11-09,138,60
423,Fruit,2018-11-09,151,151
424,Sardines,2018-11-09,80,80
425,Oranges,2018-11-09,227,227
426,French fried potatoes,2018-11-09,32,32
427,Chocolate Ice Cream,2018-11-09,200,139
428,Sliced Tomatoes,2018-11-09,39,39
429,ROQUEFORT CHEESE,2018-11-09,73,73
430,Cream Cheese,2018-11-09,152,112
431,Crackers,2018-11-09,46,46
432,Grapes,2018-11-09,43,43
433,Biscuit Tortoni,2018-11-09,81,51
434,Dessert,2018-11-09,60,59
435,Shrimp Cocktail,2018-11-09,80,80
436,rice pudding,2018-11-09,79,79
